game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"Unleash your fighter. World tour, battle hub, and classic fights ignite a vibrant, new era of knockout brawls.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"1896: Bayou's curse. Hunt monsters, fight rivals. Survive the hunt.",Both
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,"Echoes of the lost world whisper. Ascend as a Rover, battling monstrous echoes in a dying land, seeking forgotten truths.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Shooter,"Forge your legacy on Everon. Arma Reforger: a sandbox of strategic warfare and unyielding realism. Survive, adapt, conquer.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horror,"Scrap metal, eerie moons, and your sanity's survival. Collect your bounty, or become another forgotten echo.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"Extract or perish. Intense, tactical FPS where every bullet, every decision, means survival. Are you ready for the infinite arena?",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action RPG,"New York's urban fantasy awaits! Explore chaotic zones, master stylish combat, and uncover secrets in this anime action RPG.",Singleplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive, build, conquer primal worlds teeming with dinosaurs and mythic beasts. Master the ultimate prehistoric adventure.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Forge empires, shape destinies. Your turn to build the ultimate civilization, from stone age to the stars. Will you be remembered?",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,Unleash divine fury in SMITE 2. Legendary gods clash in a new era of magical mayhem and epic team battles. Conquer the battlefield!,Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Forge your legend in a world of endless skies and shifting realms. Conquer, explore, and claim your destiny.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,RPG,"Forge your legend, survive the shroud. Build, craft, and explore a dying world consumed by mist and magic.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Unravel the terrifying secrets of a forgotten toy factory, where playtime turned into a nightmarish escape.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Adventure,"Two souls, fractured. One magical world, reborn. Can they mend their bond before it's too late?",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,"Unleash your inner hero. Forge legends, crush armies, and shape history in a chaotic, origin-spanning saga.",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Unleash the frozen fury. Grip the stick, feel the ice, and forge your legend. This is your game.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,"Unleash roguelike chaos. Build absurd poker hands, defy odds, and become the ultimate cosmic card shark in this addictive, mind-bending journey.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,RPG,"Unravel existential dread and forgotten memories within a surreal, hand-drawn world where your inner demons take physical form.",Singleplayer
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Forge your destiny in a dreamlike kingdom. Unleash magic, forge bonds, and reclaim a fractured world.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Unearth ancient mysteries and outwit ruthless rivals as Indy navigates a globe-trotting adventure, all while the world teeters on the brink.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Experience brutal, tactical WWII combat. Squad up, communicate, and conquer the battlefield or die trying.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Jump into a vibrant castle, collect stars, and save Princess Peach from Bowser's clutches in this groundbreaking 3D adventure!",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"The Zone calls. Brave radiation, anomalies, and mutated horrors in a vast, open-world Chornobyl. Survive the heart of the unknown.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,RPG,"Beyond the Zone, survival breeds legends. Adapt, conquer, and carve your legend in STALCRAFT: X.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Cooperative,"Shop, sort, and strategize! Build the ultimate grocery store empire with friends, or conquer aisles alone.",Multiplayer
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Forge your legend in a vibrant Norse realm. Ragnarok Online 2: a world of endless adventure, mythical beasts, and destiny awaits!",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,Escape gruesome experiments. Survive the nightmare. Your only hope: The Outlast Trials.,Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"In a city of androids, three will defy their programming, forging a future where humanity is redefined.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Sports,"Feel the roar, break bones. Master striking, grappling, and KO power in UFC's brutal dance.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Forge friendships and build your dream life in a magical, co-op world. Magic, farming, and community await.",Both
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"Lost, alone, in a vibrant, lethal jungle. Your survival is a relentless dance with nature's brutal beauty.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Soar through a living world. Pilot everything from biplanes to future craft. Your aviation dreams, unbound.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"Assemble a dream team of champions, outsmart opponents, and conquer the arena in this strategic auto-battler.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Exploration,"Explore an infinite procedural universe. Discover alien life, build bases, and survive the cosmos in a sandbox of endless adventure.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Cultivate your digital dream. Grow, harvest, build an agricultural empire in Farming Simulator 25.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"In a shattered Washington D.C., reclaim your city from anarchy. Become a hardened agent, fight for survival, and rebuild civilization.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Legends clash! Everyone's here for the ultimate brawl, where iconic worlds collide in an epic party for the ages.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Action,"Parkour through a zombie-infested city, day turning to brutal night. Survive the hunt.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,Sniper Elite: Resistance: Hunt Nazis from the shadows. Every shot echoes the fight for freedom.,Multiplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,RPG,"Forge destiny in Aeternum's untamed wilds. Magic, monsters, and endless adventure await.",Both
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Simulation,"Hello Kitty and friends build a cozy island paradise, exploring friendships and uncovering secrets!",Singleplayer
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Adventure,"Dominate the stage, steal the show. Fame is your only currency in this rhythm royale.",Singleplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Strategy,"Mir Tankov: Control the steel titans of history, from dusty battlefields to frozen frontiers.",Multiplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"A broken child's descent into a hellish basement, fighting demons and facing his own twisted sins. Eternal suffering awaits.",Singleplayer
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,Survive a shattered world. Master alien tech. Become the ultimate predator. Exoborne: The hunt is on.,Multiplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Action-adventure,"A lone wolf rises from the streets, claiming a corrupted state, one stolen car at a time.",Both
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Adventure,"Unravel a vibrant, floating world in this enchanting adventure. Explore, create, and collect magical companions on an endless journey.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Vaults, mayhem, and aliens! Unleash chaos with insane guns and friends in a galaxy gone wild.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Forge your legend in a shattered world. Choose your path: honor, destruction, or arcane mastery. Fight for glory or survival in this epic MMORPG.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Stock shelves, manage sales, and conquer the grocery grind. Your checkout empire awaits!",Singleplayer
